商店
160
0,0
40,0
80,0
120,0
150,0
190,0
240,0
280,0
310,0
350,0
390,0
440,0
470,0
510,0
560,0
600,0
0,40
40,30
80,30
120,40
160,30
190,40
230,40
280,40
310,40
360,40
400,30
440,40
480,30
520,40
560,30
600,30
0,70
40,80
80,80
120,70
160,80
200,80
240,80
270,70
310,70
360,80
390,70
430,80
470,70
520,70
560,70
600,80
0,120
30,110
80,110
120,110
160,110
200,110
230,110
270,120
310,110
360,120
390,110
440,120
480,110
520,120
550,120
600,110
0,160
40,160
80,160
110,160
150,160
190,150
230,150
270,160
310,150
350,150
400,150
440,150
470,150
510,160
560,160
590,160
0,200
40,200
80,190
110,200
150,200
190,190
240,200
270,200
320,200
350,190
400,200
440,190
470,200
510,200
560,190
590,200
0,230
30,230
80,230
110,240
160,240
200,240
230,230
280,230
310,230
360,230
400,240
440,230
470,240
510,240
550,240
590,230
0,280
40,270
80,280
110,280
160,280
190,280
240,280
280,280
310,270
360,280
390,270
440,270
480,280
510,280
560,280
590,270
0,320
40,320
70,310
120,310
160,320
190,310
240,320
270,320
310,320
360,320
390,320
440,320
480,310
510,310
560,310
590,310
0,360
30,350
80,360
110,360
150,360
190,350
230,350
270,350
320,350
360,360
390,360
430,350
470,350
520,350
550,360
600,350
1,16
0,2,17
1,3,18
2,4,19
3,5,20
4,6,21
5,7,22
6,8,23
7,9,24
8,10,25
9,11,26
10,12,27
11,13,28
12,14,29
13,15,30
14,31
0,17,32
1,16,18,33
2,17,19,34
3,18,20,35
4,19,21,36
5,20,22,37
6,21,23,38
7,22,24,39
8,23,25,40
9,24,26,41
10,25,27,42
11,26,28,43
12,27,29,44
13,28,30,45
14,29,31,46
15,30,47
16,33,48
17,32,34,49
18,33,35,50
19,34,36,51
20,35,37,52
21,36,38,53
22,37,39,54
23,38,40,55
24,39,41,56
25,40,42,57
26,41,43,58
27,42,44,59
28,43,45,60
29,44,46,61
30,45,47,62
31,46,63
32,49,64
33,48,50,65
34,49,51,66
35,50,52,67
36,51,53,68
37,52,54,69
38,53,55,70
39,54,56,71
40,55,57,72
41,56,58,73
42,57,59,74
43,58,60,75
44,59,61,76
45,60,62,77
46,61,63,78
47,62,79
48,65,80
49,64,66,81
50,65,67,82
51,66,68,83
52,67,69,84
53,68,70,85
54,69,71,86
55,70,72,87
56,71,73,88
57,72,74,89
58,73,75,90
59,74,76,91
60,75,77,92
61,76,78,93
62,77,79,94
63,78,95
64,81,96
65,80,82,97
66,81,83,98
67,82,84,99
68,83,85,100
69,84,86,101
70,85,87,102
71,86,88,103
72,87,89,104
73,88,90,105
74,89,91,106
75,90,92,107
76,91,93,108
77,92,94,109
78,93,95,110
79,94,111
80,97,112
81,96,98,113
82,97,99,114
83,98,100,115
84,99,101,116
85,100,102,117
86,101,103,118
87,102,104,119
88,103,105,120
89,104,106,121
90,105,107,122
91,106,108,123
92,107,109,124
93,108,110,125
94,109,111,126
95,110,127
96,113,128
97,112,114,129
98,113,115,130
99,114,116,131
100,115,117,132
101,116,118,133
102,117,119,134
103,118,120,135
104,119,121,136
105,120,122,137
106,121,123,138
107,122,124,139
108,123,125,140
109,124,126,141
110,125,127,142
111,126,143
112,129,144
113,128,130,145
114,129,131,146
115,130,132,147
116,131,133,148
117,132,134,149
118,133,135,150
119,134,136,151
120,135,137,152
121,136,138,153
122,137,139,154
123,138,140,155
124,139,141,156
125,140,142,157
126,141,143,158
127,142,159
128,145
129,144,146
130,145,147
131,146,148
132,147,149
133,148,150
134,149,151
135,150,152
136,151,153
137,152,154
138,153,155
139,154,156
140,155,157
141,156,158
142,157,159
143,158
0,0,50,50
60,0,50,40
120,0,50,40
180,0,40,50
230,0,50,40
290,0,60,50
360,0,50,50
420,0,40,50
470,0,50,50
530,0,50,50
590,0,60,40
660,0,40,50
710,0,50,40
770,0,60,50
840,0,50,40
900,0,40,40
0,60,50,40
60,50,50,60
120,50,50,60
180,60,50,40
240,50,40,60
290,60,50,50
350,60,60,50
420,60,40,40
470,60,60,40
540,60,50,50
600,50,50,50
660,60,50,50
720,50,50,50
780,60,50,40
840,50,50,50
900,50,40,60
0,110,50,60
60,120,50,40
120,120,50,40
180,110,50,50
240,120,50,40
300,120,50,40
360,120,40,40
410,110,50,60
470,110,60,50
540,120,40,50
590,110,50,50
650,120,50,50
710,110,60,50
780,110,50,60
840,110,50,60
900,120,40,40
0,180,40,50
50,170,60,60
120,170,50,60
180,170,50,60
240,170,50,60
300,170,40,50
350,170,50,50
410,180,50,50
470,170,60,50
540,180,40,40
590,170,60,50
660,180,50,40
720,170,50,50
780,180,40,50
830,180,60,50
900,170,40,60
0,240,50,50
60,240,50,50
120,240,40,40
170,240,50,50
230,240,50,50
290,230,50,50
350,230,50,60
410,240,50,50
470,230,50,60
530,230,60,50
600,230,50,60
660,230,40,50
710,230,50,60
770,240,60,50
840,240,40,40
890,240,50,50
0,300,50,40
60,300,50,40
120,290,40,50
170,300,50,50
230,300,50,50
290,290,60,60
360,300,40,40
410,300,60,40
480,300,40,40
530,290,60,50
600,300,50,50
660,290,40,50
710,300,50,50
770,300,60,50
840,290,40,60
890,300,50,40
0,350,40,60
50,350,60,50
120,350,40,60
170,360,60,50
240,360,50,50
300,360,40,50
350,350,60,60
420,350,40,60
470,350,60,50
540,350,50,60
600,360,50,40
660,350,40,50
710,360,50,50
770,360,50,50
830,360,50,50
890,350,50,50
0,420,50,50
60,410,50,60
120,420,40,40
170,420,60,40
240,420,40,50
290,420,60,40
360,420,50,50
420,420,40,50
470,410,60,60
540,420,40,50
590,410,60,60
660,410,50,60
720,420,40,40
770,420,60,40
840,420,40,40
890,410,50,50
0,480,50,50
60,480,40,40
110,470,60,60
180,470,50,60
240,480,40,50
290,470,60,50
360,480,40,40
410,480,50,40
470,480,60,40
540,480,40,50
590,480,60,50
660,480,50,40
720,470,40,50
770,470,60,50
840,470,40,60
890,470,50,50
0,540,40,40
50,530,60,50
120,540,40,40
170,540,50,40
230,540,50,40
290,530,50,50
350,530,50,50
410,530,60,50
480,530,50,50
540,540,40,40
590,540,50,40
650,530,50,50
710,530,60,50
780,530,40,50
830,540,60,40
900,530,40,50
